,logM,a,alpha
1702,-0.452891559817378,0.2933461088070012,9.866206406168891e-05
1703,-0.452891559817378,0.3620923192246428,0.00012178370369688909
1704,-0.452891559817378,0.4308385296422844,0.00014490534333208926
1705,-0.452891559817378,0.49958474005992604,0.00016802698296728945
1706,-0.452891559817378,0.5683309504775675,0.0001911486226024896
1707,-0.452891559817378,0.6370771608952092,0.00021427026223768978
1708,-0.452891559817378,0.7058233713128508,0.00023739190187288995
1709,-0.452891559817378,0.7745695817304924,0.00026051354150809014
1710,-0.452891559817378,0.843315792148134,0.0002836351811432903
1711,-0.452891559817378,0.9120620025657755,0.00030675682077849046
1712,-0.452891559817378,0.9808082129834171,0.00032987846041369065
1713,-0.452891559817378,1.0495544234010588,0.0003530001000488908
1714,-0.452891559817378,1.1183006338187003,0.00037612173968409093
1715,-0.452891559817378,1.187046844236342,0.00039924337931929117
1716,-0.452891559817378,1.2557930546539835,0.0004223650189544913
1717,-0.452891559817378,1.324539265071625,0.00044548665858969145
1718,-0.452891559817378,1.3932854754892667,0.0004686082982248917
1719,-0.452891559817378,1.4620316859069082,0.0004917299378600918
1720,-0.452891559817378,1.53077789632455,0.000514851577495292
1721,-0.452891559817378,1.5995241067421915,0.0005379732171304922
1722,-0.452891559817378,1.668270317159833,0.0005610948567656923
1723,-0.452891559817378,1.7370165275774747,0.0005842164964008925
1724,-0.452891559817378,1.8057627379951162,0.0006073381360360927
1725,-0.452891559817378,1.8745089484127577,0.0006304597756712928
1726,-0.452891559817378,1.9432551588303995,0.0006535814153064931
1727,-0.452891559817378,2.0120013692480407,0.0006767030549416931
1728,-0.452891559817378,2.0807475796656822,0.0006998246945768932
1729,-0.452891559817378,2.149493790083324,0.0007229463342120936
1730,-0.452891559817378,2.2182400005009657,0.0007460679738472937
1731,-0.452891559817378,2.286986210918607,0.0007691896134824938
1732,-0.452891559817378,2.3557324213362487,0.000792311253117694
1733,-0.452891559817378,2.4244786317538902,0.0008154328927528941
1734,-0.452891559817378,2.4932248421715317,0.0008385545323880943
1735,-0.452891559817378,2.5619710525891737,0.0008616761720232945
1736,-0.452891559817378,2.630717263006815,0.0008847978116584946
1737,-0.452891559817378,2.6994634734244567,0.0009079194512936948
1738,-0.452891559817378,2.768209683842098,0.0009310410909288949
1739,-0.452891559817378,2.8369558942597397,0.000954162730564095
1740,-0.452891559817378,2.9057021046773817,0.0009772843701992954
1741,-0.452891559817378,2.974448315095023,0.0010004060098344955
1742,-0.452891559817378,3.0431945255126647,0.0010235276494696957
1743,-0.452891559817378,3.111940735930306,0.0010466492891048958
1744,-0.452891559817378,3.1806869463479477,0.001069770928740096
1745,-0.452891559817378,3.249433156765589,0.001092892568375296
1746,-0.452891559817378,3.318179367183231,0.0011160142080104964
1747,-0.452891559817378,3.3869255776008726,0.0011391358476456966
1748,-0.452891559817378,3.455671788018514,0.0011622574872808967
1749,-0.452891559817378,3.5244179984361557,0.0011853791269160968
1750,-0.452891559817378,3.593164208853797,0.001208500766551297
1751,-0.452891559817378,3.661910419271439,0.0012316224061864973
1752,-0.452891559817378,3.7306566296890806,0.0012547440458216975
1753,-0.452891559817378,3.799402840106722,0.0012778656854568976
1754,-0.452891559817378,3.8681490505243636,0.0013009873250920977
1755,-0.452891559817378,3.936895260942005,0.0013241089647272979
1756,-0.452891559817378,4.005641471359647,0.001347230604362498
1757,-0.452891559817378,4.074387681777289,0.0013703522439976982
1758,-0.452891559817378,4.14313389219493,0.0013934738836328983
1759,-0.452891559817378,4.2118801026125725,0.0014165955232680989
1760,-0.452891559817378,4.280626313030214,0.001439717162903299
1761,-0.452891559817378,4.3493725234478555,0.0014628388025384991
